STATION,YEAR,MONTH,V1,F1,V2,F2,V3,F3,V4,F4,V5,F5,V6,F6,V7,F7,V8,F8,V9,F9,V10,F10,V11,F11,V12,F12,V13,F13,V14,F14,V15,F15,V16,F16,V17,F17,V18,F18,V19,F19,V20,F20,V21,F21,V22,F22,V23,F23,V24,F24,V25,F25,V26,F26,V27,F27,V28,F28,V29,F29,V30,F30,V31,F31
270165,1952,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M,-999.9,M
270165,1952,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1952,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.8,,0,,0,,0,,3.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M
270165,1952,5,0,,16,,40.5,,0,,0,,0,,0,,0,,0.7,,0,,0,,0,,0,,0,,0,,0,,32.3,,0,,0,,0,,10.8,,2.7,,0,,0,,19.2,,9,,0,,0.6,,16.1,,0,,0,
270165,1952,6,7.9,,0,,0,,0,,0,,0,,0,,22.1,,0,,13.5,,0,,0,,0,,11.8,,0,,0,,2.2,,0,,0,,0,,0,,0,,0,,24.7,,0,,0,,0,,2.4,,1,,0,,-999.9,M
270165,1952,7,0,,2.6,,7.7,,1.1,,13.2,,6.5,,1.2,,0,,50.6,,23.5,,19.9,,1.7,,0,,6.5,,5.6,,0,,7.9,,0,,0,,2,,2.3,,56.7,,0,,1.7,,2.5,,1.4,,2.6,,0,,5.3,,2.4,,1.9,
270165,1952,8,0,,0,,3.6,,11.3,,0,,29.6,,0.8,,0.4,,0,,44.2,,0,,0,,0,,26.6,,0,,12.5,,8.7,,0,,1.1,,0.6,,23.3,,3,,11.5,,16.8,,14.1,,23.2,,0.8,,65.5,,5.4,,0,,0,
270165,1952,9,51,,1.3,,0,,0,,13.2,,0,,0,,2.8,,22.9,,0,,0,,11.8,,0,,11,,29.6,,0,,4.9,,6.1,,2.8,,3.3,,1.4,,29.9,,0.8,,3.1,,15,,2.8,,0,,0,,8.9,,0.4,,-999.9,M
270165,1952,10,12,,2,,0,,0,,1.6,,0,,41.6,,0.7,,2.4,,16.9,,0,,0,,0,,8.9,,0,,0,,0,,5.2,,0,,0,,0,,0,,0,,0,,0,,16.8,,0,,0,,0,,0,,0,
270165,1952,11,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M
270165,1952,12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.3,,0,
270165,1953,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1953,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,17.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M,-999.9,M,-999.9,M
270165,1953,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1953,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.3,,0,,0,,0,,0,,0,,0,,0,,0.1,,11.2,,0.8,,0,,0,,0,,1.3,,0,,-999.9,M
270165,1953,5,2.7,,0,,0,,24.5,,0,,0,,50.8,,1.8,,0,,6.8,,23.2,,0,,0,,17.8,,0,,0,,0,,0,,0,,0,,0,,0,,0.8,,0,,0,,22.2,,0,,40.1,,0,,1.2,,33.2,
270165,1953,6,0,,55.3,,4.9,,0.3,,4.4,,0,,12.1,,13.1,,0,,6.1,,0,,0,,0,,0,,0,,8.5,,8.5,,0,,32.3,,0,,0,,21.5,,1.8,,1.5,,0,,1.1,,17,,0,,1.2,,10.2,,-999.9,M
270165,1953,7,0,,0,,32.6,,0,,0,,0,,60.1,,0,,26.9,,0,,0,,0,,0,,0,,0,,0,,11.3,,25.9,,0,,0,,30.9,,42.1,,0.9,,46.3,,1.3,,0,,71.6,,0,,0,,1.5,,0.7,
270165,1953,8,4.8,,0,,64,,1.4,,0,,0,,20.3,,0,,0,,9.4,,0,,9.7,,41.7,,5.6,,3.1,,0,,7.6,,30,,5.4,,0,,0,,0,,0,,44,,0.7,,0.5,,34.8,,8.6,,10.2,,2.7,,8.3,
270165,1953,9,94.6,,0.5,,0.8,,23.4,,0,,26.6,,6.4,,4.1,,16.5,,8.2,,3.6,,0,,0,,0,,3.8,,0,,0,,0,,0,,39.1,,0,,0,,7.5,,0,,16.4,,8.6,,19,,0.2,,10,,0,,-999.9,M
270165,1953,10,4.4,,4.7,,0.5,,0,,0,,0,,0,,7.9,,0,,38.6,,0,,22.1,,2.1,,0,,7.8,,0,,0,,8.1,,7.4,,0,,7.1,,6.3,,0,,5.8,,0,,0,,0,,3,,0,,4.5,,0,
270165,1953,11,0,,0,,0,,0,,0.3,,5.4,,0,,0,,0,,0,,0,,0,,0,,0.2,,0,,0,,0,,0,,0,,0,,2.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-999.9,M
270165,1953,12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1954,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1954,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11.7,,0,,0,,-999.9,M,-999.9,M,-999.9,M
270165,1954,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.1,,3.4,,0.4,,1.3,,0,,0,,0,
270165,1954,4,9.5,,0,,0,,11.2,,0,,0,,1.8,,0,,0,,0,,0,,0,,0,,2.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,16.7,,0,,38,,9,,-999.9,M
270165,1954,5,0,,0,,0,,0,,13.8,,0,,6.9,,0,,0,,0,,0,,0,,0,,0,,16.2,,0,,0.8,,0,,40.6,,0,,1,,0,,0,,0,,0,,0,,0,,14.5,,0,,24.6,,3.4,
270165,1954,6,0.7,,2.5,,4,,15.4,,0,,0,,4.9,,0.4,,0,,0,,5.6,,0,,0,,25.5,,0,,22.5,,0,,4.9,,5.5,,0.3,,19.5,,0.9,,6.3,,24.1,,0,,0,,10.1,,1.3,,1.2,,0,,-999.9,M
270165,1954,7,0,,4.3,,0,,0,,0,,3,,29.7,,0,,0,,24.9,,9.3,,0,,0,,0,,0.2,,0,,0,,1.3,,0,,4.8,,15.7,,21.3,,0.9,,0,,0,,31.4,,25.8,,0,,0,,0,,1.8,
270165,1954,8,0,,42.1,,0,,0,,39.5,,3.6,,0,,17,,0,,11.1,,18.1,,0,,9.8,,0,,7.4,,9.6,,25.3,,6.2,,1.9,,26.1,,102.6,,0.4,,21.9,,50.9,,4.7,,0,,2.6,,10.9,,56.5,,8,,0,
270165,1954,9,16.5,,0,,0,,29.9,,0,,0,,0,,15.7,,0,,20.6,,4.6,,58.7,,0,,0,,9.4,,8,,0,,3.2,,0,,7.7,,0,,30.1,,1.7,,4.6,,1.6,,18,,0,,7.2,,0,,0.3,,-999.9,M
270165,1954,10,14,,11.6,,0,,1.8,,0,,3.6,,0,,0,,0,,0,,0,,12.3,,35.8,,1.9,,16.1,,0,,0,,0,,7.2,,0,,0,,0,,4,,0,,0,,0,,0,,1,,51.7,,0,,0,
270165,1954,11,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.5,,3.1,,0,,0,,0,,0,,0,,0,,0,,1.7,,0,,0,,0,,0,,0,,-999.9,M
270165,1954,12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1955,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
270165,1955,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,16.6,,1.6,,0,,-999.9,M,-999.9,M,-999.9,M
270165,1955,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,,4.1,,0,,0,,0,,0,,0,,0,,0,,0,,7.6,,0,,3.8,,0,,11.1,,0,,0,,0,,0,,0,,2,,0,
270165,1955,4,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,5.7,,0,,31,,0,,0,,0,,0,,0,,-999.9,M
